Frequency,Cp Avg,Cp Stdev,Loss Avg,Loss Stdev
478630.092,2.89362E-11,5.04211E-12,0.113195412,0.018261213
501187.234,2.88574E-11,5.02985E-12,0.112663734,0.017812106
524807.46,2.87625E-11,4.99503E-12,0.112433502,0.018007068
549540.874,2.86623E-11,4.98372E-12,0.112177462,0.017783953
575439.937,2.85783E-11,4.9735E-12,0.11195637,0.01726153
602559.586,2.84808E-11,4.95556E-12,0.111153766,0.017235444
630957.344,2.83922E-11,4.93968E-12,0.111019926,0.016964705
660693.448,2.83088E-11,4.92968E-12,0.110086248,0.017134896
691830.971,2.82158E-11,4.90843E-12,0.110305394,0.017216225
724435.96,2.81349E-11,4.89527E-12,0.109988126,0.016848293
758577.575,2.80517E-11,4.8798E-12,0.109615556,0.016497919
794328.235,2.79643E-11,4.8593E-12,0.108912442,0.016649903
831763.771,2.78781E-11,4.85402E-12,0.10891692,0.016256086
870963.59,2.78154E-11,4.81801E-12,0.108746986,0.017677268
912010.839,2.77232E-11,4.82757E-12,0.10793785,0.015737912
954992.586,2.76501E-11,4.81215E-12,0.107516144,0.015717754
1000000,2.75737E-11,4.80083E-12,0.107445864,0.015728159
